Postnr.;Bynavn;Gade;Firma;Provins;Land
0555;Scanning;;Data Scanning A/S;True;1
0783;Facility;;;False;1
0784;H&M;Postbox 600;(Return parcels);False;1
0785;Bestseller ;Postbox 580;(Return parcels);False;1
0800;Hõje Taastrup;Girostrõget 1;BG-Bank A/S;True;1
0877;Kõbenhavn C;Havneholmen 33;Aller Press (konkurrencer);False;1
0892;Sjëlland USF P;Ufrankerede svarforsendelser;;False;1
0893;Sjëlland USF B;Ufrankerede svarforsendelser;;False;1
0894;Udbetaling;;(Post til scanning);False;1
0899;Kommuneservice;;(Post til scanning);False;1
0900;Kõbenhavn C;;Kõbenhavns Postcenter + erhvervskunder;False;1
0910;Kõbenhavn C;Ufrankerede svarforsendelser ;;False;1
0913;Kõbenhavns Pakkecenter;;Zalando returpakker;False;1
0914;Kõbenhavns Pakkecenter;;(Returpakker);False;1
0917;Kõbenhavns Pakkecenter;;(Returpakker);False;1
0918;Kõbenhavns Pakke BRC;;(Returpakker);False;1
0919;Returprint BRC;;;False;1
0929;Kõbenhavn C;Ufrankerede svarforsendelser;;False;1
0960;Internationalt Postcenter;;(Internt);False;1
0999;Kõbenhavn C;;DR Byen;False;1
1001;Kõbenhavn K;Postboks;;False;1
1002;Kõbenhavn K;Postboks;;False;1
1003;Kõbenhavn K;Postboks;;False;1
1004;Kõbenhavn K;Postboks;;False;1
1005;Kõbenhavn K;Postboks;;False;1
1006;Kõbenhavn K;Postboks;;False;1
1007;Kõbenhavn K;Postboks;;False;1
1008;Kõbenhavn K;Postboks;;False;1
1009;Kõbenhavn K;Postboks;;False;1
1010;Kõbenhavn K;Postboks;;False;1
1011;Kõbenhavn K;Postboks;;False;1
1012;Kõbenhavn K;Postboks;;False;1
1013;Kõbenhavn K;Postboks;;False;1
1014;Kõbenhavn K;Postboks;;False;1
1015;Kõbenhavn K;Postboks;;False;1
1016;Kõbenhavn K;Postboks;;False;1
1017;Kõbenhavn K;Postboks;;False;1
1018;Kõbenhavn K;Postboks;;False;1
1019;Kõbenhavn K;Postboks;;False;1
1020;Kõbenhavn K;Postboks;;False;1
1021;Kõbenhavn K;Postboks;;False;1
1022;Kõbenhavn K;Postboks;;False;1
1023;Kõbenhavn K;Postboks;;False;1
1024;Kõbenhavn K;Postboks;;False;1
1025;Kõbenhavn K;Postboks;;False;1
1026;Kõbenhavn K;Postboks;;False;1
1045;Kõbenhavn K;Ufrankerede svarforsendelser;;False;1
1050;Kõbenhavn K;Kongens Nytorv;;False;1
1051;Kõbenhavn K;Nyhavn;;False;1
1052;Kõbenhavn K;Herluf Trolles Gade;;False;1
1053;Kõbenhavn K;Cort Adelers Gade;;False;1
1054;Kõbenhavn K;Peder Skrams Gade;;False;1
1055;Kõbenhavn K;Tordenskjoldsgade;;False;1
1055;Kõbenhavn K;August Bournonvilles Passage;;False;1
1056;Kõbenhavn K;Heibergsgade;;False;1
1057;Kõbenhavn K;Holbergsgade;;False;1
1058;Kõbenhavn K;Havnegade;;False;1
1059;Kõbenhavn K;Niels Juels Gade;;False;1
1060;Kõbenhavn K;Holmens Kanal;;False;1
1061;Kõbenhavn K;Ved Stranden;;False;1
1062;Kõbenhavn K;Boldhusgade;;False;1
1063;Kõbenhavn K;Laksegade;;False;1
1064;Kõbenhavn K;Asylgade;;False;1
1065;Kõbenhavn K;Fortunstrëde;;False;1
1066;Kõbenhavn K;Admiralgade;;False;1
1067;Kõbenhavn K;Nikolaj Plads;;False;1
1068;Kõbenhavn K;Nikolajgade;;False;1
1069;Kõbenhavn K;Bremerholm;;False;1
1070;Kõbenhavn K;VingÜrdstrëde;;False;1
1071;Kõbenhavn K;Dybensgade;;False;1
1072;Kõbenhavn K;Lille Kirkestrëde;;False;1
1073;Kõbenhavn K;Store Kirkestrëde;;False;1
1074;Kõbenhavn K;Lille Kongensgade;;False;1
1092;Kõbenhavn K;Holmens Kanal 2-12;Danske Bank A/S;False;1
1093;Kõbenhavn K;Havnegade 5;Danmarks Nationalbank;False;1
1095;Kõbenhavn K;Kongens Nytorv 13;Magasin du Nord;False;1
1098;Kõbenhavn K;Esplanaden 50;A.P. Mõller;False;1
1100;Kõbenhavn K;ùstergade;;False;1
1101;Kõbenhavn K;Ny ùstergade;;False;1
1102;Kõbenhavn K;Pistolstrëde;;False;1
1103;Kõbenhavn K;Hovedvagtsgade;;False;1
1104;Kõbenhavn K;Ny Adelgade;;False;1
1105;Kõbenhavn K;Kristen Bernikows Gade;;False;1
1106;Kõbenhavn K;Antonigade;;False;1
1107;Kõbenhavn K;Grõnnegade;;False;1
1110;Kõbenhavn K;Store Regnegade;;False;1
1111;Kõbenhavn K;Christian IX's Gade;;False;1
1112;Kõbenhavn K;Pilestrëde;;False;1
1113;Kõbenhavn K;Silkegade;;False;1
